PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_NAME;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_CATEGORY;REQUIREMENTS_ATTRIBUTES_OBJETIVE_ID;REQUIREMENTS_ATTRIBUTES_OBJETIVE_NAME;REQUIREMENTS_ATTRIBUTES_CHECK_SUMMARY;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;085350497370;us-east-1;2026-03-13 21:06:02.726161;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;A.12 Operations Security;A.12.4.T;Logging and Monitoring;Ensure CloudTrail is enabled in all regions;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:us-east-1:085350497370:trail;cloudtrail_multi_region_enabled;False;085350497370;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;085350497370;us-east-1;2026-03-13 21:06:02.726161;A.12.4.D;Logging and Monitoring;Ensure a log metric filter and alarm exist for changes to Network Access Control Lists (NACL);A.12 Operations Security;A.12.4.D;Logging and Monitoring;Ensure a log metric filter and alarm exist for changes to Network Access Control Lists (NACL);FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:us-east-1:085350497370:log-group;cloudwatch_changes_to_network_acls_alarm_configured;False;085350497370;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;085350497370;us-east-1;2026-03-13 21:06:02.726161;A.12.4.C;Logging and Monitoring;Ensure a log metric filter and alarm exist for changes to network gateways;A.12 Operations Security;A.12.4.C;Logging and Monitoring;Ensure a log metric filter and alarm exist for changes to network gateways;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:us-east-1:085350497370:log-group;cloudwatch_changes_to_network_gateways_alarm_configured;False;085350497370;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;085350497370;us-east-1;2026-03-13 21:06:02.726161;A.12.4.B;Logging and Monitoring;Ensure a log metric filter and alarm exist for route table changes;A.12 Operations Security;A.12.4.B;Logging and Monitoring;Ensure a log metric filter and alarm exist for route table changes;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:us-east-1:085350497370:log-group;cloudwatch_changes_to_network_route_tables_alarm_configured;False;085350497370;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;085350497370;us-east-1;2026-03-13 21:06:02.726161;A.12.4.A;Logging and Monitoring;Ensure a log metric filter and alarm exist for VPC changes;A.12 Operations Security;A.12.4.A;Logging and Monitoring;Ensure a log metric filter and alarm exist for VPC changes;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:us-east-1:085350497370:log-group;cloudwatch_changes_to_vpcs_alarm_configured;False;085350497370;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;085350497370;us-east-1;2026-03-13 21:06:02.726161;A.12.4.F;Logging and Monitoring;Ensure a log metric filter and alarm exist for AWS Config configuration changes;A.12 Operations Security;A.12.4.F;Logging and Monitoring;Ensure a log metric filter and alarm exist for AWS Config configuration changes;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:us-east-1:085350497370:log-group;cloudwatch_log_metric_filter_and_alarm_for_aws_config_configuration_changes_enabled;False;085350497370;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;085350497370;us-east-1;2026-03-13 21:06:02.726161;A.12.4.J;Logging and Monitoring;Ensure a log metric filter and alarm exist for CloudTrail configuration changes;A.12 Operations Security;A.12.4.J;Logging and Monitoring;Ensure a log metric filter and alarm exist for CloudTrail configuration changes;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:us-east-1:085350497370:log-group;cloudwatch_log_metric_filter_and_alarm_for_cloudtrail_configuration_changes_enabled;False;085350497370;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;085350497370;us-east-1;2026-03-13 21:06:02.726161;A.12.4.I;Logging and Monitoring;Ensure a log metric filter and alarm exist for AWS Management Console authentication failures;A.12 Operations Security;A.12.4.I;Logging and Monitoring;Ensure a log metric filter and alarm exist for AWS Management Console authentication failures;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:us-east-1:085350497370:log-group;cloudwatch_log_metric_filter_authentication_failures;False;085350497370;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;085350497370;us-east-1;2026-03-13 21:06:02.726161;A.10.1.C;Cryptographic Controls;Detect Customer Master Keys (CMKs) scheduled for deletion;A.10 Cryptography;A.10.1.C;Cryptographic Controls;Detect Customer Master Keys (CMKs) scheduled for deletion;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:us-east-1:085350497370:log-group;cloudwatch_log_metric_filter_disable_or_scheduled_deletion_of_kms_cmk;False;085350497370;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;085350497370;us-east-1;2026-03-13 21:06:02.726161;A.12.4.H;Logging and Monitoring;Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer created CMKs;A.12 Operations Security;A.12.4.H;Logging and Monitoring;Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer created CMKs;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:us-east-1:085350497370:log-group;cloudwatch_log_metric_filter_disable_or_scheduled_deletion_of_kms_cmk;False;085350497370;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
